slug,label,family_slug,metros_posibles,metro_principal,metro_exclusivo,patron_metrico,regularidad_metrica,fuente_metrica,confianza_metrica,requiere_revision_metrica,notas_revision_metrica,definicion
silva_de_consonantes_irregular,silva De consonantes irregular,silva,"[7, 11]",,False,null,variable,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas.,"La silva de consonantes irregular es una serie métrica abierta que combina versos heptasílabos y endecasílabos con rima consonante agrupados en pareados, pero sin una estructura fija (por ejemplo, AABbcCDDEe, etc.). Aunque la mayoría son pareados, puede dejar algunos versos sueltos sin rimar."
soneto_con_tercetos_de_rima_paralela_ABBAABBACDECDE,soneto Con tercetos De rima paralela ABBAABBACDECDE,soneto,[11],11,True,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",fija,heredado_de_soneto,alta,False,,"Composición poética de catorce versos endecasílabos organizada en dos cuartetos iniciales, que mantienen un orden rígido de rima abrazada (ABBAABBA), seguidos de dos tercetos finales de rima paralela (CDECDE)."
terceto_sin_encadenar_1_AXABYB,terceto Sin encadenar 1 AXABYB,terceto,[11],11,True,null,fija,definicion,alta,False,,"Serie de endecasílabos organizados en grupos de tres donde no existe una trabazón sonora continua entre las estrofas, optando por esquemas de rima interna o versos sueltos (AXABYB, etc.). Estas composiciones pueden finalizar en un pareado o en un cuarteto."
cancion_sin_rima,cancion Sin rima,cancion_petrarquista,"[7, 11]",,False,null,regular_por_estancias,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas.,"La canción sin rima (o canción libre) es una estructura métrica compuesta por series de estrofas que combinan heptasílabos y endecasílabos. A diferencia de la estancia de canción convencional, esta forma prescinde de la rima en el cuerpo de la estrofa, manteniendo únicamente un pareado final de rima consonante que sirve para cerrar cada unidad y marcar la transición rítmica."
endecasilabo_suelto_y_pareado,endecasilabo suelto Y pareado,endecasilabo_suelto,[11],11,True,null,fija,definicion,alta,False,,"En una tirada de endecasílabos sueltos se mezclan algunos pareados intercalados además del dístico conclusivo. Si los pareados suponen entre el 50 y el 98%, estamos ante una **silva de endecasílabos**; si suponen entre el 99-100%, estamos ante **pareados endecasílabos**."
irregular_mixto,irregular mixto,irregular,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",,False,null,indeterminada,definicion,baja,True,Metro indeterminado o categoría residual.,Estrofa irregular compuesta por una mixtura de versos de arte menor y mayor.
quintilla,quintilla,quintilla,[8],8,True,"[8, 8, 8, 8, 8]",fija,definicion,alta,False,,"Quintilla: estrofa formada por cinco versos octosílabos y dos rimas que se repiten seguidas un máximo de dos veces (excepto la tipología 8). La rima siempre es consonante. Hay siete modalidades: 
1) ababa;
2) abbab;
3) abaab;
4) aabab;
5) aabba;
6) abbaa;
7) ababb;
8) abbba."
quintilla_3_abaab,quintilla 3 abaab,quintilla,[8],8,True,"[8, 8, 8, 8, 8]",fija,heredado_de_familia,alta,False,,Quintilla abaab (tipo 3)
redondilla_heptasilaba,redondilla heptasilaba,redondilla,[7],7,True,"[7, 7, 7, 7]",fija,definicion,alta,False,,Redondilla formada por cuatro versos heptasílabos con rima abba.
romance_a-e,romance A-e,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia a-e
sexteto_lira_b2_AbbACC,sexteto lira B2 AbbACC,sexteto_lira,"[7, 11]",11,False,"[11, 7, 7, 11, 11, 11]",fija,patron_especifico_mayusculas_minusculas,alta,False,,Sexteto-lira con patrón de rimas AbbACC
silva_libre,silva libre,silva,"[7, 11]",,False,null,variable,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas.,"La silva libre es una serie métrica abierta que combina versos heptasílabos y endecasílabos con rima consonante distribuida al arbitrio del poeta, sin un orden fijo, permitiendo incluso la aparición de versos sueltos sin rima. Es la silva más irregular. No contiene pareados y, si los hubiera, serían una minoría de casos aislados."
soneto_con_tercetos_de_rima_conclusiva_ABBAABBACDEDCE,soneto Con tercetos De rima conclusiva ABBAABBACDEDCE,soneto,[11],11,True,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",fija,heredado_de_soneto,alta,False,,"Composición poética de catorce versos endecasílabos organizada en dos cuartetos iniciales, que mantienen un orden rígido de rima abrazada (ABBAABBA), seguidos de dos tercetos finales de rima conclusiva (CDEDCE)."
terceto_sin_encadenar_2_XAAYBB,terceto Sin encadenar 2 XAAYBB,terceto,[11],11,True,null,fija,definicion,alta,False,,"Serie de endecasílabos organizados en grupos de tres donde no existe una trabazón sonora continua entre las estrofas, optando por esquemas de rima interna o versos sueltos (XAAYBB, etc.). Estas composiciones pueden finalizar en un pareado o en un cuarteto."
cancion_sin_rima_de_esdrujulos,cancion Sin rima De esdrujulos,cancion_petrarquista,"[7, 11]",,False,null,regular_por_estancias,familia,media,True,Revisar la capa métrica: forma variable o con variantes internas.,Canción sin rima que usa total o mayoritariamente términos esdrújulos a final de verso.
decima,decima,decima,[8],8,True,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",fija,definicion,alta,False,,Diez octosílabos con rima abba:accddc. Es característica la pausa tras el cuarto verso (abba:accddc).
endecasilabo_suelto_y_pareado_sin_distico_final,endecasilabo suelto Y pareado Sin distico final,endecasilabo_suelto,[11],11,True,null,fija,definicion,alta,False,,"Tirada de endecasílabos sueltos con intercalación de pareados, pero sin el dístico final. Si los pareados suponen entre el 50 y el 98%, estamos ante una **silva de endecasílabos**; si suponen entre el 99-100%, estamos ante **pareados endecasílabos**."
quintilla_4_aabab,quintilla 4 aabab,quintilla,[8],8,True,"[8, 8, 8, 8, 8]",fija,heredado_de_familia,alta,False,,Quintilla aabab (tipo 4)
redondilla_doble_abbaacca,redondilla doble abbaacca,redondilla,[8],8,True,"[8, 8, 8, 8, 8, 8, 8, 8]",fija,familia+patron,alta,False,,Redondillas dobles con el patrón de rima abbaacca.
romance_a-o,romance A-o,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia a-o
sexteto_lira_c1_AabBcC,sexteto lira C1 AabBcC,sexteto_lira,"[7, 11]",,False,"[11, 7, 7, 11, 7, 11]",fija,patron_especifico_mayusculas_minusculas,alta,False,,Sexteto-lira con patrón de rimas AabBcC.
silva_de_endecasilabos,silva De endecasilabos,silva,[11],11,True,null,fija,definicion,alta,False,,"La silva de endecasílabos es una serie métrica abierta exclusivamente de versos de 11 sílabas, que permite la aparición de versos sueltos sin rima, aunque la mayoría son rimados (del 50 al 98%), a menudo en dísticos. Si los pareados suponen un porcentaje menor, estamos ante **endecasílabo suelto**; si suponen entre el 99-100%, estamos ante **pareado endecasílabo**."
soneto_con_tercetos_de_rima_nuclear_ABBAABBACDCEDE,soneto Con tercetos De rima nuclear ABBAABBACDCEDE,soneto,[11],11,True,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",fija,heredado_de_soneto,alta,False,,"Composición poética de catorce versos endecasílabos organizada en dos cuartetos iniciales, que mantienen un orden rígido de rima abrazada (ABBAABBA), seguidos de dos tercetos finales de rima nuclear (CDCEDE)."
terceto_de_esdrujulos,terceto De esdrujulos,terceto,[11],11,True,null,fija,familia,alta,False,,Terceto rimado total o mayoritariamente con términos esdrújulos.
cancion_de_8_versos,cancion De 8 versos,cancion_petrarquista,"[7, 11]",,False,null,regular_por_estancias,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas.,Canción petrarquista (canzone) agrupada en estancias de 8 versos y que combina heptasílabos con endecasílabos.
copla_real,copla real,copla_real,[8],8,True,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",fija,definicion,alta,False,,"Tirada de estrofas de diez versos que combinan de un modo fijo dos quintillas normalmente de distinto tipo. Es característica la pausa tras el quinto verso, a diferencia de la décima espinela, que se da tras el cuarto. Puede incluir uno o dos versos de pie quebrado."
endecasilabo_suelto_encadenado,endecasilabo suelto encadenado,endecasilabo_suelto,[11],11,True,null,fija,definicion,alta,False,,"Tirada de endecasílabos sueltos en que riman las sílabas finales de un verso con un grupo silábico situado en el interior del verso siguiente (generalmente la sexta y séptima sílaba, y, con menor frecuencia, la cuarta y quinta)."
quintilla_5_aabba,quintilla 5 aabba,quintilla,[8],8,True,"[8, 8, 8, 8, 8]",fija,heredado_de_familia,alta,False,,Quintilla aabba (tipo 5)
romance_e,romance E,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia -e
sexteto_lira_c2_AabBCC,sexteto lira C2 AabBCC,sexteto_lira,"[7, 11]",11,False,"[11, 7, 7, 11, 11, 11]",fija,patron_especifico_mayusculas_minusculas,alta,False,,Sexteto-lira con patrón de rimas AabBCC.
soneto_de_esdrújulos,soneto De Esdrújulos,soneto,[11],11,True,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",fija,heredado_de_soneto,alta,False,,Soneto rimado total o mayoritariamente con términos esdrújulos.
cancion_de_9_versos,cancion De 9 versos,cancion_petrarquista,"[7, 11]",,False,null,regular_por_estancias,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas.,Canción petrarquista (canzone) agrupada en estancias de 9 versos y que combina heptasílabos con endecasílabos.
endecasilabo_suelto_de_esdrujulos,endecasilabo suelto De esdrujulos,endecasilabo_suelto,[11],11,True,null,fija,familia,alta,False,,Tirada de endecasílabos sueltos con terminaciones total o mayoritariamente en palabras esdrújulas.
quintilla_6_abbaa,quintilla 6 abbaa,quintilla,[8],8,True,"[8, 8, 8, 8, 8]",fija,heredado_de_familia,alta,False,,Quintilla abbaa (tipo 6)
romance_e-a,romance E-a,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia e-a
romancillo,romancillo,romancillo,"[6, 7]",,False,null,variable,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas.,Serie indefinida de versos hexasílabos o heptasílabos con rima asonante en los pares.
sexteto_lira_de_esdrujulos,sexteto lira De esdrujulos,sexteto_lira,"[7, 11]",,False,null,fija_con_variantes,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas.,Sexteto-lira rimado total o mayoritariamente con términos esdrújulos.
cancion_de_15_versos,cancion De 15 versos,cancion_petrarquista,"[7, 11]",,False,null,regular_por_estancias,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas.,Canción petrarquista (canzone) agrupada en estancias de 15 versos y que combina heptasílabos con endecasílabos.
quintilla_7_ababb,quintilla 7 ababb,quintilla,[8],8,True,"[8, 8, 8, 8, 8]",fija,heredado_de_familia,alta,False,,Quintilla ababb (tipo 7)
romance_e-e,romance E-e,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia e-e
romance_heroico,romance heroico,romance_heroico,[11],11,True,null,fija,definicion,alta,False,,Serie indefinida de versos endecasílabos con rima asonante en los pares.
quintilla_8_abbba,quintilla 8 abbba,quintilla,[8],8,True,"[8, 8, 8, 8, 8]",fija,heredado_de_familia,alta,False,,Quintilla que contradice la norma general al repetir tres rimas seguidas: abbba.
romance_e-o,romance E-o,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia e-o
villancico,villancico,villancico,"[6, 8]",,False,null,variable,definicion+uso_metrico,media,True,Revisar la capa métrica: forma variable o con variantes internas. | Formalización inferida por uso métrico general; debe revisarse por especialista.,"El villancico es una forma poética y musical española de arte menor (generalmente octosílabos o hexasílabos) caracterizada por la siguiente estructura métrica: cabeza (que puede coincidir total o parcialmente con el estribillo), una copla (que contiene mudanza y, menudo, versos de enlace y de vuelta) y la repetición del estribillo. La mudanza suele ser una redondilla o cuarteta (abba o abab). 

Así es la estructura más habitual:

- Estribillo o cabeza: De dos a cuatro versos iniciales que contienen el estribillo que se repiten más tarde. En algunos textos no existe esta sección.
- Mudanza: una estrofa, frecuentemente redondilla (cuatro versos octosílabos, rima abba).
- Verso de enlace: uno o más versos que conectan con la mudanza mediante la rima.
- Verso de vuelta: uno o más versos que conectan con el estribillo mediante la rima.
- Estribillo: unas veces se repite parte del estribillo y luego el estribillo entero; otras veces, tan solo una parte del estribillo y puede sobreentenderse que luego se repite el estribillo entero.

Existen villancicos que omiten los versos de vuelta y de enlace."
romance_i,romance I,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia -í
zejel,zejel,zejel,"[6, 8]",,False,null,variable,definicion+uso_metrico,media,True,Revisar la capa métrica: forma variable o con variantes internas. | Formalización inferida por uso métrico general; debe revisarse por especialista.,"El zéjel es una forma poética y musical española de arte menor (generalmente octosílabos o hexasílabos) caracterizada por la siguiente estructura métrica: estribillo, una copla o estrofa compuesta por tres versos monorrimos, un verso de vuelta que rima con el estribillo y, habitualmente, la repetición del estribillo."
romance_i-a,romance I-a,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia i-a
seguidilla,seguidilla,seguidilla,"[5, 7]",,False,"[7, 5, 7, 5]",fija_con_variacion,definicion+uso_metrico,media,True,Revisar la capa métrica: forma variable o con variantes internas.,"La seguidilla es una forma métrica que se estructura en estrofas de cuatro o siete versos, caracterizada por la alternancia de versos de siete y cinco sílabas con rima asonante (por ejemplo, 7-5a-7-5a). En este tipo de composición, el cómputo silábico puede presentar ligeras variaciones debido a que su construcción prioriza la cadencia musical sobre el rigor numérico literario."
pareado_de_arte_menor,pareado De arte menor,pareado_de_arte_menor,"[6, 7, 8]",,False,null,variable,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas. | Formalización inferida por uso métrico general; debe revisarse por especialista.,Un dístico o una serie de dísticos de arte menor.
romance_i-e,romance I-e,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia i-e
copla_de_pie_quebrado,copla De Pie quebrado,copla_de_pie_quebrado,"[4, 5, 8]",8,False,null,variable,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas. | Formalización inferida por uso métrico general; debe revisarse por especialista.,"Estrofa compuesta por la combinación de versos octosílabos con otros de menor medida, habitualmente tetrasílabos o pentasílabos, denominados ""quebrados"". Esta estructura métrica se organiza en estrofas que oscilan generalmente entre los cinco y los doce versos, donde la alternancia rítmica entre el verso largo y su mitad métrica genera una cadencia característica muy utilizada en la lírica castellana, especialmente en composiciones de tono elegíaco o narrativo."
romance_i-o,romance I-o,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia i-o
romance_o,romance O,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia -ó
terceto_octosilabo,terceto octosilabo,terceto_octosilabo,[8],8,True,null,fija,definicion,alta,False,,Forma métrica que adapta los tercetos encadenados endecasílabos de raíz italiana a los octosílabos españoles
irregular,irregular,irregular,[],,,null,indeterminada,definicion,baja,True,Metro indeterminado o categoría residual.,Formas métricas irregulares.
romance_o-a,romance O-a,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia o-a
romance_o-e,romance O-e,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia o-e
silva,silva,silva,"[7, 11]",,False,null,variable,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas. | Formalización inferida por uso métrico general; debe revisarse por especialista.,"La silva es una serie métrica abierta que generalmente combina versos heptasílabos y endecasílabos con rima consonante distribuida al arbitrio del poeta, permitiendo incluso la aparición de versos sueltos sin rima. Podemos categorizar esta forma en cuatro variantes según la disposición de sus elementos: 
1.- Silva de consonantes regular, que alterna siempre del mismo modo los pareados (aAbBcCdDeE, etc.).
2.- Silva de consonantes irregular, que alterna de manera libre  los pareados (por ejemplo, AABbcCDDEE, etc.).
3.- Silva libre, donde la extensión y la rima no siguen un orden fijo y pueden quedar versos sin rimar. Es la silva más irregular.
4.- Silva de endecasílabos, compuesta exclusivamente por versos de once sílabas con una alta densidad de rimas (del 50 al 98% son rimados), a menudo en dísticos."
octava_real,octava real,octava_real,[11],11,True,"[11, 11, 11, 11, 11, 11, 11, 11]",fija,definicion,alta,False,,Estrofa formada por ocho endecasílabos con rima ABABABCC.
romance_o-o,romance O-o,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia o-o
romance_u-a,romance U-a,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia u-a
soneto,soneto,soneto,[11],11,True,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",fija,heredado_de_soneto,alta,False,,"El soneto es una composición poética de catorce versos endecasílabos organizada en dos cuartetos iniciales, que mantienen un orden rígido de rima abrazada (ABBAABBA), seguidos de dos tercetos finales cuya disposición es variable. Esta última sección permite diversas combinaciones rítmicas que definen el carácter de la resolución del poema, destacando entre las más comunes los tercetos de rima cruzada (CDCDCD) y los de la rima paralela (CDECDE), la de rima conclusiva (CDEDCE) o la rima nuclear (CDCEDE), entre otras variantes que otorgan al poeta flexibilidad para modular el cierre conceptual y sonoro de la pieza."
romance_u-e,romance U-e,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia u-e
terceto,terceto,terceto,[11],11,True,null,fija,definicion,alta,False,,"Unidad métrica fundamental de tres versos endecasílabos en los que riman, al menos, el primero con el tercero, el cuarto con el sexto, etc. Su flexibilidad permite su integración en series más extensas, basando su eficacia rítmica en la combinación de una rima compartida con un verso que puede quedar libre (tercetos sin encadenar) o anticipar el sonido de la siguiente unidad (tercetos encadenados)."
romance_u-o,romance U-o,romance,[8],8,True,null,fija,heredado_de_romance,alta,False,,Romance con asonancia u-o
sexteto_lira,sexteto lira,sexteto_lira,"[7, 11]",,False,null,fija_con_variantes,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas. | Formalización inferida por uso métrico general; debe revisarse por especialista.,"El sexteto-lira es una estrofa de seis versos que combina heptasílabos y endecasílabos mediante el empleo de tres rimas diferenciadas. Su estructura se organiza en dos bloques: los cuatro primeros versos alternan o abrazan las dos primeras rimas, mientras que los dos finales cierran la composición mediante un pareado que introduce la tercera rima. Aunque admite diversas variantes en la disposición de los metros y las rimas (como abbacC o AabBCC), la forma considerada regular sigue el esquema aBaBcC. Por lo general, el patrón métrico elegido al inicio de un pasaje se mantiene de forma constante a lo largo de toda la serie, garantizando la cohesión rítmica de la unidad."
lira,lira,lira,"[7, 11]",7,False,"[7, 11, 7, 7, 11]",fija,patron_especifico_mayusculas_minusculas,alta,False,,La lira es una estrofa de cinco versos que combina heptasílabos y endecasílabos bajo un esquema fijo de rima consonante 7a\11B\7a\7b\11B. Su estructura rítmica la convirtió en una de las formas predilectas de la lírica renacentista para expresar contenidos de gran elevación espiritual o emotiva.
endecasilabo_suelto,endecasilabo suelto,endecasilabo_suelto,[11],11,True,null,fija,definicion,alta,False,,"Los endecasílabos sueltos consisten en series de versos de once sílabas que carecen de rima regular, aunque mantienen la cohesión rítmica a través de la identidad métrica. Suelen concluir estas secuencias con un pareado final y a veces intercalan dísticos rimados con una frecuencia creciente a lo largo de un mismo pasaje. Técnicamente, una composición se categoriza bajo esta modalidad cuando la presencia de rimas es minoritaria, situándose por debajo del 50 % del total de los versos, lo que la diferencia de formas más densamente rimadas como la silva de consonantes o los pareados endecasílabos."
cancion_petrarquista,cancion petrarquista,cancion_petrarquista,"[7, 11]",,False,null,regular_por_estancias,definicion,media,True,Revisar la capa métrica: forma variable o con variantes internas. | Formalización inferida por uso métrico general; debe revisarse por especialista.,"La canción (canzone) es una estructura métrica de origen italiano compuesta por una serie de estrofas de extensión variable, generalmente entre los cinco y los veinte versos, que habitualmente combinan heptasílabos y endecasílabos. Excepto la ""canción sin rima"", el rasgo más distintivo de la canción petrarquista es el mantenimiento de un esquema de rima fijo y complejo que se repite idénticamente en cada una de las estrofas de un mismo pasaje, otorgando una arquitectura sonora muy estable a la composición. El modelo más frecuente consta de 13 versos organizados en dos secciones (la fronte, dividida en dos *piedi*, y la *sirima*), siguiendo habitualmente el patrón abCabC:cdeeDfF."
pareado_endecasilabo,pareado endecasilabo,pareado_endecasilabo,[11],11,True,"[11, 11]",fija,definicion/equivalencias,alta,False,,
sextina,sextina,sextina,[11],11,True,null,fija_por_repeticion_lexica,definicion,alta,False,,"La sextina es una estructura métrica culta compuesta por treinta y nueve versos endecasílabos, organizados en seis estrofas de seis versos y un remate final de tres. Su rasgo distintivo es la ausencia de rima convencional, sustituida por la repetición de seis palabras fijas al final de los versos; estas palabras rotan en cada estrofa siguiendo un orden de alternancia hasta completar todas las combinaciones posibles. El poema concluye con un remate de tres versos que integra las seis palabras clave —tres en el interior del verso y tres al final—, cerrando así este complejo ejercicio de arquitectura léxica y rítmica. Puede darse el caso de la sextina doble, consistente en repetir el esquema de las seis estrofas de seis versos y acabar con el remate simple de tres versos."
